"name","imdb","rt","bm","imdb_rating","release_date","budget","critic_score_rt","audience_score_rt","theaters","opening_weekend_usa","gross_usa","gross_worldwide","year","year_of_release","NAs"
"Ant-Man","https://www.imdb.com/title/tt0478970/","https://www.rottentomatoes.com/m/antman","https://www.boxofficemojo.com/release/rl88245761/?ref_=bo_shs_sd",7.3," 17 July 2015 (USA)",1.3e+08,"83%","86%",3868,57225526,180202163,519311965,"2015 (USA)",2015,0
"Ant-Man and the Wasp","https://www.imdb.com/title/tt5095030/","https://www.rottentomatoes.com/m/ant_man_and_the_wasp","https://www.boxofficemojo.com/release/rl2088535553/",7.1," 6 July 2018 (USA)",1.62e+08,"88%","76%",4206,75812205,216648740,622674139,"2018 (USA)",2018,0
"Aquaman","https://www.imdb.com/title/tt1477834/","https://www.rottentomatoes.com/m/aquaman_2018","https://www.boxofficemojo.com/movies/?id=dcfilm0617.htm",7," 21 December 2018 (USA)",1.6e+08,"66%","75%",4184,67873522,335061807,1148161807,"2018 (USA)",2018,0
"Avengers: Age of Ultron","https://www.imdb.com/title/tt2395427/","https://www.rottentomatoes.com/m/marvels_the_avengers_2","https://www.boxofficemojo.com/release/rl675644929/",7.3," 1 May 2015 (USA)",2.5e+08,"75%","83%",4276,191271109,459005868,1402805868,"2015 (USA)",2015,0
"Avengers: Endgame","https://www.imdb.com/title/tt4154796/","https://www.rottentomatoes.com/m/avengers_endgame","https://www.boxofficemojo.com/movies/?id=marvel2019.htm",8.5," 26 April 2019 (USA)",3.56e+08,"94%","90%",4662,357115007,858373000,2797800564,"2019 (USA)",2019,0
"Avengers: Infinity War","https://www.imdb.com/title/tt4154756/","https://www.rottentomatoes.com/m/avengers_infinity_war","https://www.boxofficemojo.com/release/rl3043198465/?ref_=bo_at_a",8.5," 27 April 2018 (USA)",3.21e+08,"85%","91%",4474,257698183,678815482,2048359754,"2018 (USA)",2018,0
"Batman","https://www.imdb.com/title/tt0096895/","https://www.rottentomatoes.com/m/1001781-batman","https://www.boxofficemojo.com/movies/?id=batman.htm",7.5," 23 June 1989 (USA)",3.5e+07,"72%","84%",2201,40489746,251348343,411556825,"1989 (USA)",1989,0
"Batman & Robin","https://www.imdb.com/title/tt0118688/","https://www.rottentomatoes.com/m/1077027_batman_and_robin","https://www.boxofficemojo.com/release/rl3561326081/",3.7," 20 June 1997 (USA)",1.25e+08,"11%","16%",2942,42872605,107353792,238235915,"1997 (USA)",1997,0
"Batman Begins","https://www.imdb.com/title/tt0372784/","https://www.rottentomatoes.com/m/batman_begins","https://www.boxofficemojo.com/release/rl3510994433/",8.2," 15 June 2005 (USA)",1.5e+08,"84%","94%",3858,48745440,206852432,373413297,"2005 (USA)",2005,0
"Batman Forever","https://www.imdb.com/title/tt0112462/","https://www.rottentomatoes.com/m/batman_forever","https://www.boxofficemojo.com/movies/?id=batmanforever.htm",5.4," 16 June 1995 (USA)",1e+08,"39%","32%",2893,52784433,184069126,336567531,"1995 (USA)",1995,0
"Batman Returns","https://www.imdb.com/title/tt0103776/","https://www.rottentomatoes.com/m/batman_returns","https://www.boxofficemojo.com/movies/?id=batmanreturns.htm",7," 19 June 1992 (USA)",8e+07,"79%","73%",2644,16071282,162902340,266903053,"1992 (USA)",1992,0
"Batman v Superman: Dawn of Justice","https://www.imdb.com/title/tt2975590/","https://www.rottentomatoes.com/m/batman_v_superman_dawn_of_justice","https://www.boxofficemojo.com/movies/?id=superman2015.htm",6.5," 25 March 2016 (USA)",2.5e+08,"28%","63%",4256,166007347,330360194,873634919,"2016 (USA)",2016,0
"Black Panther","https://www.imdb.com/title/tt1825683/","https://www.rottentomatoes.com/m/black_panther_2018/","https://www.boxofficemojo.com/release/rl2992866817",7.3," 16 February 2018 (USA)",2e+08,"97%","79%",4084,202003951,700059566,1346913161,"2018 (USA)",2018,0
"Blade","https://www.imdb.com/title/tt0120611/","https://www.rottentomatoes.com/m/1083484-blade","https://www.boxofficemojo.com/movies/?id=blade.htm",7.1," 21 August 1998 (USA)",4.5e+07,"54%","78%",2389,17073856,70087718,131183530,"1998 (USA)",1998,0
"Blade II","https://www.imdb.com/title/tt0187738/","https://www.rottentomatoes.com/m/blade_2_bloodhunt","https://www.boxofficemojo.com/movies/?id=blade2.htm",6.7," 22 March 2002 (USA)",5.4e+07,"57%","68%",2707,32528016,82348319,155010032,"2002 (USA)",2002,0
"Blade: Trinity","https://www.imdb.com/title/tt0359013/","https://www.rottentomatoes.com/m/blade_trinity","https://www.boxofficemojo.com/movies/?id=blade3.htm",5.9," 8 December 2004 (USA)",6.5e+07,"26%","59%",2912,16100000,52411906,129241130,"2004 (USA)",2004,0
"Captain America","https://www.imdb.com/title/tt0103923/","https://www.rottentomatoes.com/m/captain-america1990","https://www.boxofficemojo.com/release/rl1900578305/",3.2," 26 July 1991 (USA)",1e+07,"7%","16%",3715,NA,NA,NA,"1991 (USA)",1991,3
